Homunculus_Area,Linear_Muscle_Coord
5,0.0956963880368416
5,0.0238231897255482
5,-0.0355245056219153
5,-0.191305309284526
5,0.813440275107936
5,0.747270191769648
5,0.754361829612049
5,0.742329295737142
6,1.33676549060147
5,0.765889208586898
5,0.765889208586898
5,0.765889208586898
5,0.765889208586898
5,0.765889208586898
5,0.595622244575481
5,0.768083707506416
5,0.456832135947828
6,0.765889208586898
6,0.794016387577954
7,0.341797904093319
6,0.859090391423334
7,0.341797904093319
7,1.1057169300491
8,1.19012469017733
8,1.1937247469198
8,1.20085431577456
8,1.16653340267562
8,1.14499477140135
8,1.14143435536306
8,1.14448056010699
7,0.360143997029545
8,0.333090137013189
8,1.1791042632441
9,1.13842340044222
9,1.14150380948907
8,0.607439135989792
8,0.356363977566062
8,1.18063586293294
8,1.21188415367752
8,0.591432568876943
13,0.589391407972707
14,1.55537278861438
14,1.55537278861438
14,1.55686124457666
14,0.607508428094668
9,1.55223923744087
10,1.5617033106144
10,1.57831864501658
10,1.57453793273631
13,0.559966112686955
12,1.93259592745874
11,1.56071572474249
13,0.558211486169838
12,0.540366716385199
12,1.57101631713353
11,1.58213346806157
13,0.790346743267618
12,0.750921090757983
11,1.93611717719224
10,1.94881372524286
15,0.692475174458398
15,1.27931210352848
5,-0.64754517112271
5,0.799274954844407
5,0.150566874636026
5,-0.572625582349679
5,1.12597970978274
5,1.4333976801368
5,-0.434605862717098
5,1.12614063511193
5,0.822840841162254
15,-0.825671390151422
15,0.854668525681979
15,1.16825385637179
5,-0.758904338862858
5,1.25736191150126
5,1.1962080573004
5,0.244351972826811
5,0.832351482896153
5,0.795292561374325
5,-0.0774024012245748
5,1.01902617458063
5,-1.45949757514613
5,-0.754352409855294
5,-0.243422116612834
5,-0.78171597238887
5,-0.19456606298439
5,1.01902617458063
5,0.27134407949252
5,0.287088808358971
5,1.15057517891281
5,0.149828306434905
5,0.515824275321038
5,0.619499409599387
5,0.0810279919600929
5,-0.764666370078157
5,-0.813003491562184
5,-1.45949757514613
5,-0.11094781039353
5,1.25736191150126
5,1.1962080573004
5,0.244351972826811
5,0.832351482896153
5,0.795292561374326
5,-0.0774024012245749
5,1.01902617458063
5,0.27134407949252
5,0.10006614732793
5,-0.754352409855294
5,-0.243422116612834
5,-0.78171597238887
5,-0.19456606298439
15,-0.11094781039353
15,1.49504076092246
15,0.614581771874841
15,1.49504076092246
15,0.553185306270654
15,1.29748333434358
15,1.49504076092246
15,1.49504076092246
15,0.229922821194316
15,0.28251857744948
15,0.291308943403314
