Recovery_Time,Impact_Deviation,Weights
4,2.21246308419767,1
4,0.659752843352391,4
12,2.73421825549283,1
12,2.57910264561097,1
2,2.10942873015835,6
0.142857142857143,0.334470326858318,30
0,0.138976051614663,6
2,2.96067113829899,4
12,4.36300624467287,1
12,2.4272346370295,20
1.42857142857143,-0.680647126058976,9
8,2.21804601956647,9
8,3.81693340470465,4
1.42857142857143,2.57282079225341,17
