Impact_Deviation,Activation_Volume,Weights
0.659752843352391,1390,4
1.08330591397186,1000,4
0.663187481376739,650,4
2.18983456575541,5566,3
0.87809146505868,2972,19
2.65488926936012,4409,14
3.81693340470465,2267,4
