impact_dev_ratio,area,weight
-0.146950841415027,1390,4
-0.198156419745856,1000,4
-0.541373348606536,650,4
0.211625217421516,5566,3
-0.244586197889764,2972,19
0.987506416725888,4409,14
2.11099947586271,2267,4
