Recovery_Time,Impact_Deviation
6,4.4499982723044
6,4.25862976953857
6,4.36300624467287
6,4.18374951826248
2,1.32127931418737
2,2.10935029690648
2,1.64885497837912
2,1.58176381883247
12,3.23404665498951
12,2.61943979753494
12,3.52247125376976
4,2.77405161762987
4,2.30084541457949
4,1.44651668917861
4,1.75552140496114
4,1.46950199462091
