Average_Shortest_Path,Impact_Score
1.29675990162101,8969.389
1.28101241351241,11136.242
1.42360298440364,5578.4146
1.37550839471591,4869.1895
1.49014614500726,9233.444
1.54169817322595,9163.544
1.47755488852711,9260.4795
1.37684813431545,9312.537
1.53595743248521,9450.313
1.68646508840954,9494.82
1.68646508840954,9520.637
1.68646508840954,9523.768
1.68646508840954,9513.646
1.68646508840954,9519.417
1.88817529480928,5539.686
1.39342220838953,10021.882
1.57502351557907,9170.709
1.68646508840954,9620.373
1.66146508840953,9153.85
2.05933545877991,10476.541
1.61547743408855,9157.687
2.05933545877991,10174.936
2.00714410075522,9885.303
2.44942805137251,9146.934
2.46239101433547,8601.757
2.45590953285399,8570.179
2.30708237236015,7700.879
2.33769965631077,7254.926
2.33362558223669,7403.9546
2.33671200198978,8179.602
2.02877990322435,10535.659
2.08340953285398,9415.583
2.31510706371817,9943.679
2.32010706371817,7349.308
2.48276138470584,8075.3296
2.02504533532312,9102.24
1.87189718717496,10487.785
2.01455150816262,8537.9375
2.32158854519965,9379.286
2.03739101433546,9147.962
2.03245274273053,7760.129
3.23084780445892,5246.9307
3.23084780445892,5120.893
2.93307002668114,5597.6772
2.87507619952065,6147.8057
3.39850212544657,4525.0347
3.38615644643423,5002.9824
3.38615644643423,5586.8945
2.9244280513725,5766.3115
2.93742187853299,4622.0586
3.54288484149596,4132.186
2.94757619952065,5292.79
2.90254533532311,5099.52
2.89544656989102,5413.9404
3.22436632297743,4996.7285
2.94387249581695,5551.71
3.8556317550762,4403.4014
3.8559403970515,4127.962
4.1873292859404,4161.9297
3.89140336001447,4520.019
1.35741990005879,4732.9326
1.45329562926785,5106.089
1.30303264515683,7294.736
1.33924071480444,5978.9478
1.40826425631982,6113.2197
1.27414297817892,7527.015
1.35261583883316,5409.39
1.36189520870077,5112.892
1.29705540858318,6619.764
1.45299931701075,5000.4116
1.38766422000899,5196.8853
1.32627046307602,4629.587
1.33504698793097,5567.68
1.34925013046746,5563.114
1.27328015394192,7064.3364
1.75819504357903,3600.1167
1.7485654139494,4373.1187
1.74156204694604,4399.3203
1.73905051526784,4192.2686
1.74710607082339,4617.2515
1.74542643600651,4809.5527
1.72845385067608,4820.611
1.72925792314681,3840.3938
1.69674874508208,3673.8245
1.70230430063763,3671.0242
1.70230430063763,3671.992
1.71639730821103,3384.0771
1.72845385067608,4843.602
1.73092298647855,4820.579
1.73298698729255,4572.319
1.73391291321847,4510.126
1.73502402432958,4361.8926
1.74390298487521,4346.2515
1.73180421944311,4388.543
1.73180421944311,4318.6177
1.73180421944311,4287.5146
1.73157273796163,4257.992
1.72925792314681,3881.0989
1.78922021908133,3308.7495
1.75819504357903,3543.8594
1.7485654139494,4386.691
1.74156204694604,4404.7666
1.73905051526784,4187.494
1.74710607082339,4615.122
1.74542643600651,4807.825
1.72845385067608,4820.6304
1.73092298647855,4806.344
1.70431047347714,3713.785
1.69674874508208,3605.9558
1.70230430063763,3673.8208
1.70230430063763,3669.0854
1.71639730821103,3385.9531
1.78922021908133,3442.98
1.78750064236175,2879.2295
1.79305619791731,2961.4592
1.78750064236175,2941.6545
1.40943670678148,5078.9736
1.47723742820966,4638.6587
1.78750064236175,2953.188
1.78750064236175,2862.3452
