homunc_area,muscle_coord
5,0.148633842781508
5,0.0811109163367183
5,0.321138689606079
5,-0.509827630103447
5,0.795332564921076
5,0.789991343266749
5,0.790052607619932
5,0.509520880848578
6,0.797503779500878
5,0.793898807997938
5,0.793898807997938
5,0.793898807997938
5,0.793898807997938
5,0.793898807997938
5,0.589332311331226
5,0.560737964044474
5,0.506179306927091
6,0.793898807997938
6,0.824236087567243
7,0.395885777668318
6,0.91380165907338
7,0.395885777668318
7,1.2910422367128
8,1.30884364041563
8,1.30019146063301
8,1.31309069219266
8,1.28861824927514
8,1.25650457801753
8,1.25645625360219
8,1.25645625360219
7,0.425441741380435
8,0.388641935497833
8,1.29794462946182
9,1.27555354694361
9,1.27320695122346
8,1.3125770223669
8,0.435566027226341
8,1.29967395494859
8,1.29481390972849
8,1.2895029276571
13,1.2895029276571
14,1.70926438677771
14,1.70926438677771
14,1.71584687918095
14,0.705907774871579
9,1.6995338589326
10,1.71092366533882
10,1.72564434383555
10,1.72490040820341
13,0.64544489011447
12,2.14959464413717
11,1.73020118774872
13,0.673549385829044
12,0.663143665128457
12,1.72019958955264
11,1.73949235384147
13,0.915973613045072
12,0.892976901618375
11,2.11372487706439
10,2.14678079755391
15,0.904590382107568
15,0.883555334676816
5,-0.537011106737515
5,-0.0949764700341001
5,0.319832499712915
5,-0.124367512501804
5,0.53211740973159
5,0.886181731026584
5,-0.137385701962081
5,0.524110996152734
5,0.541743065983332
15,-0.129755815272504
15,0.533095475208165
15,0.547033605207005
5,-0.105631425997602
5,0.51948417650123
5,0.507657887278458
5,0.510479288069492
5,0.511090567397298
5,0.513164181784911
5,0.51008147591805
5,0.509319871359584
5,-0.545071784865641
5,-0.529050831481863
5,-0.530256934002336
5,-0.575923469922505
5,-0.573942898305535
5,0.509319871359584
5,0.508275523538859
5,0.504779765473582
5,0.501375998959942
5,0.498502299166354
5,0.523713453649967
5,0.140634584300701
5,0.13991592965495
5,0.13890372922727
5,0.135654388347004
5,-0.545071784865641
5,0.140323484748288
5,0.51948417650123
5,0.507657887278458
5,0.510479288069491
5,0.511090567397298
5,0.513164181784911
5,0.51008147591805
5,0.509319871359584
5,0.508275523538859
5,-0.506029117233792
5,-0.529050831481863
5,-0.530256934002336
5,-0.575923469922505
5,-0.573942898305536
15,0.140323484748288
15,0.573050876127423
15,0.536570747929515
15,0.573050876127423
15,0.529692329698208
15,0.535467150243512
15,0.573050876127422
15,0.573050876127422
15,0.590771890912841
15,0.587523679617037
15,0.600559230921751
15,0.585850617479468
15,0.668630580289307
15,2.33967320865871
15,0.672349670609071
22,1.11801799944344
22,0.306988767923524
22,1.42368671016147
22,1.48510592485008
20,1.70480108569177
20,1.62102959405026
20,1.62102959405026
15,0.575557225077991
16,0.698573133149547
17,0.944604949292658
17,0.821589041221102
19,2.36135568403421
18,2.91905418726499
18,3.46116103542432
18,2.89290971399597
18,2.90717740232594
19,2.92240939917383
19,2.36678500770668
19,2.3505603026478
20,2.37218768563749
20,2.44191484104641
20,2.44191484104641
17,3.07492886038944
17,4.51579996939645
17,4.51579996939645
17,4.51579996939645
17,4.51579996939645
17,3.13830744570794
17,3.83126784432612
4,-0.60768990524398
4,-1.09374036175494
4,-1.93532367075773
4,-1.93532367075773
4,-1.08503853921155
4,-1.93708342144607
4,-1.93708342144607
4,-1.92775674462123
4,-1.93708342144607
4,-2.49702409910379
4,-2.49702409910379
3,-2.13161273936562
4,-1.41026044485651
4,-1.41026044485651
4,-1.41958712168135
4,-1.50926913598931
4,-1.92775674462123
4,-2.02588738452415
3,-2.02588738452415
3,-2.06262786563343
3,-2.06262786563343
3,-2.06262786563343
3,-1.92775674462123
4,-1.02870008354223
4,-1.93532367075773
4,-1.41026044485651
3,-2.14382831599906
2,-2.64901518902412
3,-2.14382831599906
