recovery_time,impact_deviation,weight
4,1.32873872029831,1
4,-0.323263316564678,4
12,NaN,1
12,1.32688206512041,1
2,0.44473010640944,6
0.142857142857143,-0.967475265971691,30
0,-0.658335849924495,6
2,1.86625872572077,4
12,3.28433165700896,1
12,1.59972512722149,20
1.42857142857143,-1.49202411980923,9
8,1.6151808276299,9
8,2.96618452843647,4
1.42857142857143,0.955367759190753,17
