homunc_area,dev_ratio
1,0.24
2,0.833333333333333
3,1
4,0.95
5,0.466666666666667
6,1
7,1
8,0.928571428571429
9,0.666666666666667
10,0.666666666666667
11,0
12,0
13,0.25
14,0
15,0.0666666666666667
16,0
17,0
18,0
19,0
20,0
22,0.25
